Episode: 0/500, Score: 23.0, Epsilon: 1.0
Episode: 1/500, Score: 17.0, Epsilon: 0.99
Episode: 2/500, Score: 20.0, Epsilon: 0.99
Episode: 3/500, Score: 13.0, Epsilon: 0.99
Episode: 4/500, Score: 18.0, Epsilon: 0.98
Episode: 5/500, Score: 33.0, Epsilon: 0.98
Episode: 6/500, Score: 18.0, Epsilon: 0.97
Episode: 7/500, Score: 33.0, Epsilon: 0.97
Episode: 8/500, Score: 41.0, Epsilon: 0.96
Episode: 9/500, Score: 24.0, Epsilon: 0.96
Episode: 10/500, Score: 45.0, Epsilon: 0.95
Episode: 11/500, Score: 37.0, Epsilon: 0.95
Episode: 12/500, Score: 10.0, Epsilon: 0.94
Episode: 13/500, Score: 20.0, Epsilon: 0.94
Episode: 14/500, Score: 28.0, Epsilon: 0.93
Episode: 15/500, Score: 12.0, Epsilon: 0.93
Episode: 16/500, Score: 13.0, Epsilon: 0.92
Episode: 17/500, Score: 22.0, Epsilon: 0.92
Episode: 18/500, Score: 13.0, Epsilon: 0.91
Episode: 19/500, Score: 23.0, Epsilon: 0.91
Episode: 20/500, Score: 14.0, Epsilon: 0.9
Episode: 21/500, Score: 14.0, Epsilon: 0.9
Episode: 22/500, Score: 34.0, Epsilon: 0.9
Episode: 23/500, Score: 15.0, Epsilon: 0.89
Episode: 24/500, Score: 17.0, Epsilon: 0.89
Episode: 25/500, Score: 39.0, Epsilon: 0.88
Episode: 26/500, Score: 39.0, Epsilon: 0.88
Episode: 27/500, Score: 21.0, Epsilon: 0.87
Episode: 28/500, Score: 15.0, Epsilon: 0.87
Episode: 29/500, Score: 14.0, Epsilon: 0.86
Episode: 30/500, Score: 35.0, Epsilon: 0.86
Episode: 31/500, Score: 13.0, Epsilon: 0.86
Episode: 32/500, Score: 24.0, Epsilon: 0.85
Episode: 33/500, Score: 33.0, Epsilon: 0.85
Episode: 34/500, Score: 23.0, Epsilon: 0.84
Episode: 35/500, Score: 22.0, Epsilon: 0.84
Episode: 36/500, Score: 30.0, Epsilon: 0.83
Episode: 37/500, Score: 75.0, Epsilon: 0.83
Episode: 38/500, Score: 27.0, Epsilon: 0.83
Episode: 39/500, Score: 65.0, Epsilon: 0.82
Episode: 40/500, Score: 32.0, Epsilon: 0.82
Episode: 41/500, Score: 13.0, Epsilon: 0.81
Episode: 42/500, Score: 75.0, Epsilon: 0.81
Episode: 43/500, Score: 19.0, Epsilon: 0.81
Episode: 44/500, Score: 24.0, Epsilon: 0.8
Episode: 45/500, Score: 14.0, Epsilon: 0.8
Episode: 46/500, Score: 34.0, Epsilon: 0.79
Episode: 47/500, Score: 57.0, Epsilon: 0.79
Episode: 48/500, Score: 21.0, Epsilon: 0.79
Episode: 49/500, Score: 49.0, Epsilon: 0.78
Episode: 50/500, Score: 26.0, Epsilon: 0.78
Episode: 51/500, Score: 13.0, Epsilon: 0.77
Episode: 52/500, Score: 67.0, Epsilon: 0.77
Episode: 53/500, Score: 28.0, Epsilon: 0.77
Episode: 54/500, Score: 65.0, Epsilon: 0.76
